DepartmentName;webSite
Фінансовий відділ;https://sites.google.com/ucu.edu.ua/portal/helpdesk/finansovyy-viddil
Господарський відділ;https://sites.google.com/ucu.edu.ua/portal/helpdesk/hospodarskiy-viddil
Відділ ІТ;https://sites.google.com/ucu.edu.ua/portal/helpdesk/it
Трапезна;https://sites.google.com/ucu.edu.ua/portal/helpdesk/trapezna
Відділ розвитку;http://sites.google.com/ucu.edu.ua/portal/helpdesk/viddil-rozvytku
Відділ Рекрутингу;https://sites.google.com/ucu.edu.ua/portal/helpdesk/viddil-rekrutynhu
Юридичний відділ;https://sites.google.com/ucu.edu.ua/portal/helpdesk/yurydychnyi-viddil
Віддлі інформації;https://sites.google.com/ucu.edu.ua/portal/helpdesk/viddil-informacii
Управління персоналом;https://sites.google.com/ucu.edu.ua/portal/helpdesk/viddil-upravlinnya-personalom
Науково-організаційний;https://sites.google.com/ucu.edu.ua/portal/helpdesk/scientific
Студентської документації;https://sites.google.com/ucu.edu.ua/portal/helpdesk/viddil-studentskoii-dokumentacii
Прикладні науки;https://sites.google.com/ucu.edu.ua/portal/helpdesk/apps
